#cur_kf_id,numAddedSmartF,numAddedImuF,numAddedNoMotionF,numAddedConstantF,numAddedBetweenStereoF,state_size,landmark_count
0,0,0,0,0,0,3,0
1,299,1,0,0,0,6,299
2,299,1,0,0,0,9,299
3,301,1,0,0,0,12,383
4,298,1,0,0,0,15,403
5,300,1,0,0,0,18,408
6,301,1,0,0,0,21,409
7,300,1,0,0,0,24,412
8,301,1,0,0,0,27,418
9,301,1,0,0,0,30,425
10,0,1,1,0,0,33,426
11,300,1,0,0,0,36,434
12,302,1,0,0,0,39,468
13,303,1,0,0,0,42,469
14,299,1,0,0,0,45,469
15,300,1,0,0,0,48,471
16,299,1,0,0,0,51,471
17,299,1,0,0,0,54,471
18,299,1,0,0,0,57,471
19,299,1,0,0,0,60,471
20,299,1,0,0,0,63,471
21,299,1,0,0,0,66,471
22,301,1,0,0,0,69,481
23,302,1,0,0,0,72,482
24,303,1,0,0,0,75,483
25,304,1,0,0,0,75,484
26,313,1,0,0,0,75,685
27,314,1,0,0,0,75,686
28,315,1,0,0,0,75,687
29,303,1,0,0,0,75,722
30,301,1,0,0,0,75,737
31,298,1,0,0,0,75,779
32,300,1,0,0,0,75,794
33,301,1,0,0,0,75,822
34,301,1,0,0,0,75,823
35,300,1,0,0,0,75,832
36,301,1,0,0,0,75,833
37,301,1,0,0,0,78,847
38,303,1,0,0,0,75,877
39,303,1,0,0,0,78,878
40,302,1,0,0,0,78,879
41,303,1,0,0,0,78,880
42,300,1,0,0,0,78,882
43,302,1,0,0,0,75,910
44,303,1,0,0,0,78,911
45,293,1,0,0,0,75,1030
46,299,1,0,0,0,78,1039
47,299,1,0,0,0,75,1039
48,294,1,0,0,0,75,1106
49,306,1,0,0,0,78,1209
50,307,1,0,0,0,75,1210
51,303,1,0,0,0,75,1211
52,308,1,0,0,0,75,1333
53,305,1,0,0,0,75,1334
54,303,1,0,0,0,75,1368
55,300,1,0,0,0,75,1389
56,301,1,0,0,0,75,1419
57,302,1,0,0,0,75,1447
58,298,1,0,0,0,75,1462
59,296,1,0,0,0,78,1537
60,300,1,0,0,0,78,1567
61,301,1,0,0,0,78,1577
62,299,1,0,0,0,78,1586
63,298,1,0,0,0,78,1624
64,299,1,0,0,0,78,1631
65,300,1,0,0,0,75,1633
66,300,1,0,0,0,75,1635
67,301,1,0,0,0,78,1636
68,300,1,0,0,0,75,1641
69,299,1,0,0,0,78,1646
70,300,1,0,0,0,78,1648
71,300,1,0,0,0,78,1669
72,300,1,0,0,0,78,1683
73,301,1,0,0,0,78,1684
74,299,1,0,0,0,78,1695
75,304,1,0,0,0,78,1745
76,305,1,0,0,0,78,1746
77,295,1,0,0,0,78,1813
78,305,1,0,0,0,78,1872
79,303,1,0,0,0,78,1873
80,299,1,0,0,0,78,1889
81,299,1,0,0,0,78,1898
82,298,1,0,0,0,78,1913
