#timestamp_lkf,x,y,z,qw,qx,qy,qz
456108000000,0,0,0,1,0,0,0
456324000000,0,0,0,1,0,0,0
456560000000,0,0,0,1,0,0,0
456784000000,0,0,0,1,0,0,0
456988000000,0,0,0,1,0,0,0
457264000000,0,0,0,1,0,0,0
457516000000,0,0,0,1,0,0,0
457744000000,0,0,0,1,0,0,0
457984000000,0,0,0,1,0,0,0
458268000000,0,0,0,1,0,0,0
458572000000,0,0,0,1,0,0,0
458848000000,0,0,0,1,0,0,0
459052000000,0,0,0,1,0,0,0
459304000000,0,0,0,1,0,0,0
459552000000,0,0,0,1,0,0,0
459764000000,0,0,0,1,0,0,0
460004000000,0,0,0,1,0,0,0
460244000000,0,0,0,1,0,0,0
460488000000,0,0,0,1,0,0,0
460700000000,0,0,0,1,0,0,0
460968000000,0,0,0,1,0,0,0
461204000000,0,0,0,1,0,0,0
461448000000,0,0,0,1,0,0,0
461740000000,0,0,0,1,0,0,0
461948000000,0,0,0,1,0,0,0
462208000000,0,0,0,1,0,0,0
462428000000,0,0,0,1,0,0,0
462644000000,0,0,0,1,0,0,0
462892000000,0,0,0,1,0,0,0
463108000000,0,0,0,1,0,0,0
463348000000,0,0,0,1,0,0,0
463616000000,0,0,0,1,0,0,0
463824000000,0,0,0,1,0,0,0
464100000000,0,0,0,1,0,0,0
464368000000,0,0,0,1,0,0,0
464592000000,0,0,0,1,0,0,0
464824000000,0,0,0,1,0,0,0
465084000000,0,0,0,1,0,0,0
465288000000,0,0,0,1,0,0,0
465516000000,0,0,0,1,0,0,0
465760000000,0,0,0,1,0,0,0
466000000000,0,0,0,1,0,0,0
466264000000,0,0,0,1,0,0,0
466484000000,0,0,0,1,0,0,0
466752000000,0,0,0,1,0,0,0
466960000000,0,0,0,1,0,0,0
467220000000,0,0,0,1,0,0,0
467476000000,0,0,0,1,0,0,0
467732000000,0,0,0,1,0,0,0
467968000000,0,0,0,1,0,0,0
468228000000,0,0,0,1,0,0,0
468480000000,0,0,0,1,0,0,0
468724000000,0,0,0,1,0,0,0
468960000000,0,0,0,1,0,0,0
469208000000,0,0,0,1,0,0,0
469412000000,0,0,0,1,0,0,0
469624000000,0,0,0,1,0,0,0
469832000000,0,0,0,1,0,0,0
470072000000,0,0,0,1,0,0,0
470276000000,0,0,0,1,0,0,0
470480000000,0,0,0,1,0,0,0
470720000000,0,0,0,1,0,0,0
471000000000,0,0,0,1,0,0,0
471284000000,0,0,0,1,0,0,0
471544000000,0,0,0,1,0,0,0
471776000000,0,0,0,1,0,0,0
471992000000,0,0,0,1,0,0,0
472276000000,0,0,0,1,0,0,0
472480000000,0,0,0,1,0,0,0
472744000000,0,0,0,1,0,0,0
472948000000,0,0,0,1,0,0,0
473192000000,0,0,0,1,0,0,0
473408000000,0,0,0,1,0,0,0
473640000000,0,0,0,1,0,0,0
473884000000,0,0,0,1,0,0,0
474140000000,0,0,0,1,0,0,0
474416000000,0,0,0,1,0,0,0
474688000000,0,0,0,1,0,0,0
474888000000,0,0,0,1,0,0,0
475108000000,0,0,0,1,0,0,0
475336000000,0,0,0,1,0,0,0
475608000000,0,0,0,1,0,0,0
